eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
Blang;0.0053;0.0237;0.0152;0.0764;0.0531;
Batek;0.0053;0.0516;0.2715;0.7499;0.2782;
Lawa;0.0053;0.0196;0.0083;0.0965;0.0614;
Papuan;0.0053;0.0289;0.4038;1.0796;0.5242;
LaChi;0.0053;0.0444;0.0145;0.1712;0.1226;
Lahu;0.0053;0.0314;0.0142;0.0912;0.0648;
Bamar (or Burman);0.0053;0.3043;0.1417;0.6347;0.2155;
Alorese, Alor Malay, Alor-Pantar;0.0053;0.0162;0.1079;0.1463;0.0414;
Jingpo;0.0053;3.6287;3.6034;0.8896;0.0324;
Minahasa;0.0053;0.468;0.0016;0.4025;0.1372;
Kinh, Cham, Ede, Giarai;0.0053;0.0019;0.032;0.014;0.0248;
Khmer Loeu;0.0053;0.0211;0.0165;0.0955;0.0685;
HaNhi;0.0053;0.0262;0.0143;0.1309;0.0894;
Kankanaey (or Igorot);0.0053;0.1249;0.2814;1.1122;0.4667;
Aeta (Agta);0.0053;0.0402;0.2896;1.2133;0.5367;
LoLo;0.0053;0.0339;0.0204;0.1117;0.0903;
Malay;0.0053;0.1437;0.0119;0.111;0.0272;
Mlabri;0.0053;0.0363;0.0132;0.1847;0.1462;
Giarai;0.0053;4e-04;8e-04;0.0965;0.0864;
Surigaonon;0.0053;0.0628;0.191;0.533;0.1998;
PaThen;0.0053;0.0265;0.0157;0.1485;0.1056;
Kreung;0.0053;0.0836;0.1224;1.1989;2.0161;
Phnong;0.0053;0.0635;0.0875;0.793;1.0434;
Jehai;0.0053;1e-04;0.0491;0.0013;2e-04;
Seak;0.0053;0.043;0.0071;0.0882;0.0852;
Minangkabau;0.0053;0.0296;0.1719;0.2902;0.0846;
Bruneian Malay;0.0053;0.0206;0.1451;0.2037;0.0608;
Bru (Brao);0.0053;0.0317;0.0438;0.2433;0.3268;
Deang;0.0053;3.1827;3.2543;0.2117;0.0021;
Khuen;0.0053;0.0313;0.0155;0.1486;0.1136;
English;0.0053;0.1989;0.0893;5.6782;17.7223;
Kinh, Muong, Khmer;0.0053;0.0342;0.0053;0.1607;0.0924;
Ambonese;0.0053;0.1229;0.1834;0.6877;0.2604;
Mel Khaonh;0.0053;0.0267;0.0307;0.2563;0.2627;
Naga;0.0053;2.7182;3.2935;0.3081;8e-04;
UrakLawoi;0.0053;0.0648;0.0091;0.2259;0.0701;
Temuan;0.0053;0.0027;0.0578;0.0131;0.0061;
Mon;0.0053;0.0986;0.0087;0.2288;0.004;
Mamanwa;0.0053;0.0696;0.2104;0.6431;0.2466;
Ifugao;0.0053;0.1046;0.2897;1.0641;0.4465;
Jarai;0.0053;0.0478;0.0374;0.3595;0.3468;
Nung;0.0053;0.0239;0.017;0.14;0.11;
Ibaloi;0.0053;0.1366;0.2795;1.1369;0.475;
Dawei;0.0053;0.4341;0.7636;27.6294;57.7059;
CoLao;0.0053;0.032;0.0122;0.1582;0.125;
Unknown;0.0053;0.0069;0.1666;0.1109;0.0265;
Isan (or Lao);0.0053;0.0212;0.006;0.0877;0.0741;
Lao;0.0053;0.0282;0.0195;0.1722;0.2052;
Cham;0.0053;0.0184;0.0203;0.0511;0.0407;
Hmong;0.0053;0.0288;0.0092;0.2032;0.1883;
SiLa;0.0053;0.0147;0.0153;0.0896;0.0615;
Ancient Thai;0.0053;0.0572;6e-04;0.0689;0.0494;
H’tin;0.0053;0.0254;0.0123;0.1319;0.0938;
Chin;0.0053;1.9688;1.7583;0.3621;0.001;
Dao;0.0053;0.0221;0.0184;0.1104;0.0915;
Stieng;0.0053;0.0369;0.0838;0.4444;0.6532;
Nyaw;0.0053;0.0301;0.016;0.1243;0.1021;
Phuan;0.0053;0.0176;0.0207;0.0719;0.0692;
Tai Yuan;0.0053;0.0366;0.0038;0.1011;0.073;
Phutai;0.0053;0.0292;0.0145;0.1442;0.1429;
Maranao;0.0053;0.0619;0.2183;0.6274;0.27;
PhuLa;0.0053;0.0484;0.0053;0.12;0.0779;
Tagbanua;0.0053;0.7454;0.4943;2e-04;0.0147;
Makassarese;0.0053;0.14;0.1888;0.7515;0.2889;
Indonesian;0.0053;0.0096;0.1285;0.1321;0.0353;
Shan;0.0053;0.0143;0.0145;0.0881;0.0695;
Orang Asli;0.0053;11.4642;7.3286;0.0814;0.0902;
Sundanese;99.2754;0;0;0;0;
Kensiu;0.0053;0.0084;0.1401;0.1453;0.0521;
Black Tai;0.0053;0.0295;0.017;0.1371;0.1101;
Central Thai;0.0053;0.0181;0.0034;0.1154;0.0209;
Achang;0.0053;5.041;5.1604;1.6194;0.0779;
Kinh, Tay, Thai, Muong, Hmong;0.0053;0.0044;0.4409;0.4082;0.0905;

cos2
   ;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;
Thai;2e-04;6e-04;0;2e-04;7e-04;
Banjar, Dayak, Javanese;1e-04;0.0013;0.0072;0.0218;0.009;
Hui;1e-04;8e-04;5e-04;0.007;0.0074;
Dayak;2e-04;0.0012;0.006;0.0134;0.0049;
Filipino (or Tagalog);2e-04;0.0012;0.006;0.0117;0.0041;
Soa;2e-04;9e-04;8e-04;0.0038;0.0031;
Batak, Acehnese;2e-04;8e-04;5e-04;0.0031;0.0026;
Jahai, Semang;3e-04;0.6011;0.3819;0.0042;0.0046;
Tai Lue;2e-04;4e-04;2e-04;0.005;0.0042;
Semende;1e-04;0;0.0015;7e-04;1e-04;
Seletar;1e-04;7e-04;0.0022;0.0041;0.0011;
Abaknon;2e-04;0.0019;0.0066;0.0186;0.007;
Tay;2e-04;8e-04;0.001;0.0041;0.0038;
Bidayuh;1e-04;0;9e-04;0;1e-04;
Batak;1e-04;6e-04;0.0045;0.0119;0.005;
Kalueng;1e-04;5e-04;5e-04;0.0024;0.0019;
Tompoun;1e-04;8e-04;9e-04;0.0086;0.0098;
Kadazan-Dusun;3e-04;0.0027;0.0129;0.0316;0.0116;
Lun;1e-04;0.0015;0.0022;0.0212;0.0359;
Tengger;3e-04;0.6011;0.3819;0.0042;0.0046;
Manabo;1e-04;0.0016;0.005;0.0129;0.0046;
Lisu;1e-04;0.008;0.0029;0.0048;0.0012;
Dai;1e-04;0.001;3e-04;0.0054;0.003;
Sumbanese;2e-04;0.0031;0.0077;0.0205;0.0071;
Non-Malaysian (Chinese, Bajau, Kadazan-Dusun);1e-04;7e-04;0.005;0.008;0.0025;
Tay Nung;1e-04;5e-04;6e-04;0.0026;0.0022;
Suay;2e-04;0.0011;6e-04;0.0021;0.0013;
Toraja;2e-04;0.0045;0.0058;0.0239;0.0092;
Ivatan;1e-04;1e-04;0.0019;0.0081;0.0028;
Tetum, Mambai, Makasae;1e-04;1e-04;0.0038;0.0077;0.0039;
Moken;1e-04;0.0011;1e-04;0.0037;0.001;
Javanese;2e-04;0.001;0.0064;0.012;0.004;
Paluang;1e-04;9e-04;1e-04;0.0028;0.0016;
Besemah;3e-04;0.001;0.0072;0.0115;0.0035;
Chinese;1e-04;0.0041;0.0029;0.0194;0.0083;
Bali Aga, Balinese;1e-04;0.001;0.0035;0.0053;0.0013;
IuMien;2e-04;0.0012;4e-04;0.0044;0.0036;
Arakanese (or Rakhine);1e-04;0.0082;0.005;0.0018;0;
The Kalanguya (or Ikalahan);1e-04;0.0025;0.0059;0.0239;0.0102;
Southern Thai_TK;1e-04;8e-04;1e-04;5e-04;2e-04;
Khamu;2e-04;9e-04;6e-04;0.0035;0.0027;
Banjar;4e-04;7e-04;0.0074;0.0092;0.0027;
Bugis;4e-04;0.0036;0.0152;0.0368;0.0132;
Aini;1e-04;2e-04;7e-04;2e-04;4e-04;
Kinh;3e-04;6e-04;0.001;0.0026;0.0025;
Han;1e-04;0.1864;0.3334;0.2189;3e-04;
Maniq;1e-04;0;0.001;0;0;
Sumatrans;3e-04;0.6011;0.3819;0.0042;0.0046;
Semelai;1e-04;4e-04;0.0023;0.0037;0.0014;
Southern Thai_AN;3e-04;3e-04;0.0034;7e-04;0;
Bugkalot (or Ilongot);3e-04;0.0027;0.0094;0.0228;0.0081;
Cebuano - Filipino;1e-04;0.0013;0.005;0.0136;0.0051;
Taiwan;1e-04;5e-04;4e-04;0.0027;0.0023;
Karen;2e-04;0.0041;0.0043;0.0063;1e-04;
Kintaq;3e-04;0.6011;0.3819;0.0042;0.0046;
