eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
;0.0854;0.2806;0.0804;0.4746;0.2428;
;0.0854;0.2443;0.0574;0.4346;0.1321;
;0.0854;0.1671;0.1554;0.2967;0.2681;
;0.0854;0.168;0.1468;0.4205;0.4198;
;0.0854;0.103;0.0479;0.3991;0.2632;
;0.0854;0.3571;-0.0388;0.5009;0.2838;
;0.0854;0.3715;-0.2042;0.4798;-0.127;
;0.0854;0.2574;0.0937;0.4903;0.399;
;0.0854;0.0316;0.2419;-0.0422;-0.0117;
;0.0854;0.3101;0.1657;0.7338;0.5513;
;0.0854;0.2015;0.0796;0.3845;0.3015;
;0.0854;0.2597;0.2181;0.6996;0.6783;
;0.0854;0.1424;0.1848;0.1675;0.1339;
;0.0854;0.308;0.25;0.9021;0.9285;
;0.0854;-0.0601;-0.1305;0.4406;0.1495;
;0.0854;0.1073;0.1354;0.537;0.5467;
;0.0854;-0.1299;0.4031;-0.3791;-0.1622;
;0.0854;1.3409;-1.2937;0.038;0.0796;
;0.0854;0.0187;0.6639;-0.6466;-0.3373;
;0.0854;0.1855;0.1681;0.3963;0.3532;
;0.0854;1.658;-1.5626;0.7272;-0.0283;
;0.0854;0.1711;0.1443;0.3746;0.3094;
;0.0854;0.2332;0.3479;0.8109;0.9859;
;0.0854;0.1853;0.0706;0.4055;0.2201;
;0.0854;-0.0329;0.3118;-0.1223;-6e-04;
;0.0854;0.1676;0.1602;0.3148;0.307;
;0.0854;0.3943;-0.1668;0.5899;-0.0674;
;0.0854;0.1923;0.2033;0.5706;0.6155;
;0.0854;0.2105;0.2144;0.61;0.6433;
;0.0854;0.3055;0.053;0.521;0.4329;
;0.0854;0.1597;0.1167;0.4025;0.3842;
;0.0854;0.1672;0.1627;0.3625;0.3129;
;0.0854;0.1946;0.0781;0.4846;0.312;
;0.0854;0.1665;0.2141;0.0837;0.0118;
;0.0854;0.2474;0.0687;0.3752;0.3379;
;0.0854;0.1937;0.1499;0.4376;0.4031;
;0.0854;0.208;0.2224;0.6572;0.686;
;0.0854;-0.058;0.3269;-0.179;-0.0456;
;0.0854;0.2674;0.2893;0.8906;0.9815;
;0.0854;0.2446;0.2279;0.695;0.6906;
;0.0854;0.2474;0.0687;0.3752;0.3379;
;0.0854;0.1328;0.1546;0.3139;0.3032;
;0.0854;1.6446;-1.5476;0.8055;-0.0739;
;0.0854;0.1671;0.1219;0.418;0.3906;
;0.0854;0.2026;0.1139;0.4122;0.3954;
;0.0854;0.2191;0.1341;0.4601;0.3862;
;0.0854;0.1454;0.1216;0.3477;0.3163;
;0.0854;0.1629;0.1044;0.455;0.3938;
;0.0854;0.2474;0.0687;0.3752;0.3379;
;0.0854;-0.1045;0.4247;-0.4289;-0.2557;
;0.0854;0.2474;0.0687;0.3752;0.3379;
;0.0854;0.3213;0.3883;1.1823;1.5219;
;0.0854;0.3506;0.4254;1.3428;1.7493;
;0.0854;0.2034;0.1697;0.5087;0.5579;
;0.0854;0.2034;0.1697;0.5087;0.5579;
;0.0854;0.1768;0.1773;0.4128;0.4399;
;0.0854;0.0997;0.1191;0.4547;0.4264;
;0.0854;0.1783;0.2283;0.4856;0.515;
;0.0854;0.1993;0.1957;0.5561;0.5527;
;0.0854;0.3055;0.3597;1.0922;1.2585;
;0.0854;0.2874;0.3579;1.0235;1.1928;
;0.0854;0.2309;0.3362;0.7876;0.9473;
;0.0854;0.233;0.3522;0.8176;0.9958;
;0.0854;-0.1648;0.4404;-0.585;-0.3326;
;0.0854;-0.2309;0.3328;-0.454;-0.2389;
;0.0854;0.0878;0.1948;0.1379;0.1491;
;0.0854;-0.4375;0.4963;-1.0001;-0.6203;
;0.0854;-0.4098;0.4622;-0.935;-0.5761;
;0.0854;-0.4155;0.4619;-0.9025;-0.5479;
;0.0854;-0.312;0.4291;-0.6499;-0.3507;
;0.0854;-0.2697;0.636;-1.0586;-0.671;
;0.0854;-0.2225;0.4907;-0.7707;-0.4583;
;0.0854;-0.1235;0.4019;-0.4535;-0.2501;
;0.0854;-0.1735;0.4612;-0.593;-0.3302;
;0.0854;-0.247;0.5606;-0.8336;-0.4917;
;0.0854;-0.1735;0.4612;-0.593;-0.3302;
;0.0854;-0.1735;0.4612;-0.593;-0.3302;
;0.0854;-0.1968;0.5107;-0.6683;-0.3751;
;0.0854;-0.2689;0.4601;-0.7441;-0.4444;
;0.0854;-0.2047;0.5251;-0.6861;-0.3878;
;0.0854;-0.3786;0.4803;-0.8904;-0.5439;
;0.0854;0.0977;0.1873;-0.0912;-0.0336;
;0.0854;-0.1005;0.4962;-0.4083;-0.2005;
;0.0854;-0.1025;0.4879;-0.4123;-0.2049;
;0.0854;-0.1235;0.4019;-0.4535;-0.2501;
;0.0854;-0.2484;0.6654;-1.1011;-0.7083;
;0.0854;-0.315;0.6275;-1.0324;-0.6344;
;0.0854;-0.1947;0.6461;-1.0093;-0.6738;
;0.0854;-0.1235;0.4019;-0.4535;-0.2501;
;0.0854;-0.1235;0.4019;-0.4535;-0.2501;
;0.0854;-0.2355;0.6794;-1.1207;-0.7665;
;0.0854;-0.1235;0.4019;-0.4535;-0.2501;
;0.0854;-0.2586;0.5913;-0.9745;-0.5909;
;0.0854;-0.0613;0.2385;-0.0878;-0.0758;
;0.0854;0.1263;0.1701;0.0449;0.0467;
;0.0854;-0.2772;0.5454;-0.9004;-0.5867;
;0.0854;-0.1192;0.7025;-1.0307;-0.7388;
;0.0854;-0.1005;0.4962;-0.4083;-0.2005;
;-11.7047;0;0;0;0;
;0.0854;-0.1839;0.4805;-0.6669;-0.389;
;0.0854;-0.0942;0.413;-0.3779;-0.1827;
;0.0854;-0.1005;0.4962;-0.4083;-0.2005;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.1005;0.4962;-0.4083;-0.2005;
;0.0854;-0.1005;0.4962;-0.4083;-0.2005;
;0.0854;-0.1005;0.4962;-0.4083;-0.2005;
;0.0854;-0.1424;0.5006;-0.5131;-0.277;
;0.0854;0.0236;0.2557;0.0357;0.0527;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.6484;0.5422;-1.401;-0.9162;
;0.0854;-0.1427;0.1424;-0.0329;0.0602;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.1408;0.6497;-0.9373;-0.6512;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.1057;0.699;-1.0074;-0.7273;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2969;0.5491;-0.923;-0.5756;
;0.0854;-0.0364;0.546;-0.6816;-0.4593;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2085;0.5043;-0.6607;-0.3584;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.029;0.4186;-0.6462;-0.4262;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2063;0.7731;-1.2747;-0.8923;
;0.0854;-0.2335;0.5277;-0.801;-0.4891;
;0.0854;-0.1235;0.4019;-0.4535;-0.2501;
;0.0854;-0.1237;0.3612;-0.5446;-0.2987;
;0.0854;-0.0427;0.4257;-0.2587;-0.1026;
;0.0854;-0.0541;0.3552;-0.2512;-0.0952;
;0.0854;-0.0541;0.3552;-0.2512;-0.0952;
;0.0854;0.1182;0.2159;0.2382;0.2644;
;0.0854;-0.0541;0.3552;-0.2512;-0.0952;
;0.0854;-0.1069;0.3507;-0.2857;-0.1768;
;0.0854;-0.4604;0.5307;-1.0842;-0.6777;
;0.0854;-0.2992;0.5425;-0.8372;-0.4914;
;0.0854;0.1303;0.1726;0.2809;0.2732;
;0.0854;0.1893;0.1476;0.452;0.4037;
;0.0854;0.1751;0.1441;0.389;0.3417;
;0.0854;0.2057;0.1184;0.501;0.4428;
;0.0854;0.2598;0.1113;0.5276;0.4574;
;0.0854;0.2111;0.1389;0.4851;0.4445;
;0.0854;0.5075;0.3391;2.6814;4.7157;
;0.0854;0.2121;0.1042;0.4455;0.3434;
;0.0854;0.2034;0.1697;0.5087;0.5579;
;0.0854;0.1639;0.1603;0.4704;0.4558;
;0.0854;0.2034;0.1697;0.5087;0.5579;
;0.0854;0.1575;0.1311;0.4427;0.4205;
;0.0854;0.2795;0.0628;0.4127;0.3466;
;0.0854;0.1724;0.1621;0.3837;0.365;
;0.0854;0.3554;-0.0567;0.6105;0.0894;
;0.0854;0.1986;0.1533;0.4645;0.4291;
;0.0854;0.1822;0.1836;0.2741;0.2227;
;0.0854;0.2016;0.1549;0.4055;0.3724;
;0.0854;0.1702;0.1209;0.3647;0.2362;
;0.0854;-0.2288;0.5252;-0.6738;-0.4134;
;0.0854;-0.2285;0.5231;-0.6806;-0.4157;
;0.0854;0.0462;0.2119;0.0083;0.0103;
;0.0854;-0.0626;0.2924;-0.1403;-0.0965;
;0.0854;0.0528;0.2614;0.0053;0.0671;
;0.0854;0.0528;0.2614;0.0053;0.0671;
;0.0854;-0.043;0.3465;-0.2445;-0.1034;
;0.0854;0.0307;0.2474;-0.0083;0.0563;
;0.0854;-0.1926;0.1097;-0.1763;-0.0801;
;0.0854;-0.0103;0.2696;-0.0434;-0.018;
;0.0854;-0.0159;0.2717;-0.0507;-0.0248;
;0.0854;-0.2454;0.544;-0.7772;-0.4525;
;0.0854;-0.1004;0.7677;-0.7715;-0.3744;
;0.0854;-0.2088;0.5486;-0.7053;-0.3948;
;0.0854;-0.3007;0.1466;-0.2229;-0.0713;
;0.0854;-0.293;0.5285;-0.7241;-0.383;
;0.0854;0.0302;0.2843;-0.0276;0.0602;
;0.0854;-0.2434;-0.2165;0.4206;0.0135;
;0.0854;0.1359;0.1945;0.3149;0.2908;
;0.0854;2.5553;-2.5776;1.4319;-0.3127;
;0.0854;1.2521;-1.1103;0.5664;-0.0232;
;0.0854;0.6279;-0.4036;0.4641;-0.0913;
;0.0854;0.6335;-0.4155;0.9292;-0.4919;
;0.0854;1.7012;-1.6125;0.7379;-0.0395;
;0.0854;1.7012;-1.6125;0.7379;-0.0395;
;0.0854;2.0304;-2.0469;0.5178;-0.0509;
;0.0854;1.7012;-1.6125;0.7379;-0.0395;
;0.0854;1.9992;-2.2073;-0.6808;-0.0349;
;0.0854;1.9992;-2.2073;-0.6808;-0.0349;
;0.0854;4.8153;-6.4398;-5.2188;-0.1852;
;0.0854;0.8998;-0.8252;0.0602;-0.0107;
;0.0854;1.5226;-1.6088;-0.733;-0.1483;
;0.0854;0.7498;-0.9915;5.9148;-8.5093;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;0.0924;-0.4547;0.7581;-0.3104;
;0.0854;0.6189;-0.3979;0.9093;-0.4588;
;0.0854;0.3311;-0.0598;0.3813;-0.0634;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;0.3446;0.0573;0.6178;0.24;
;0.0854;0.3067;-0.0136;0.5806;0.2161;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;0.8401;-0.6495;0.5234;-0.1112;
;0.0854;0.8401;-0.6495;0.5234;-0.1112;
;0.0854;0.5367;-0.2996;0.7981;-0.2732;
;0.0854;0.7035;-0.5024;0.4172;0.0496;
;0.0854;0.8381;-0.6442;0.4259;0.0054;
;0.0854;0.8778;-0.6917;0.4234;-0.0096;
;0.0854;0.8778;-0.6917;0.4234;-0.0096;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;2.0543;-2.02;1.1193;-0.2575;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;-0.3407;-0.3709;0.5364;-0.015;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;0.145;0.1466;0.364;0.3247;
;0.0854;-0.0986;0.3535;-0.5637;-0.6258;
;0.0854;0.5836;-0.3557;0.8616;-0.3792;
;0.0854;0.5836;-0.3557;0.8616;-0.3792;
;0.0854;0.8778;-0.6917;0.4234;-0.0096;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;-0.4374;-0.4516;0.5569;-0.07;
;0.0854;0.8778;-0.6917;0.4234;-0.0096;
;0.0854;0.2561;0.0724;0.533;0.321;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;0.1232;0.0343;0.2721;0.1463;
;0.0854;0.3011;-2e-04;0.5448;0.1715;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;-0.4374;-0.4516;0.5569;-0.07;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;0.336;-0.0563;0.6256;0.1018;
;0.0854;1.9992;-2.2073;-0.6808;-0.0349;
;0.0854;-0.1005;0.4962;-0.4083;-0.2005;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;0.669;-0.4579;0.9772;-0.5721;
;0.0854;-0.2906;0.5495;-0.9041;-0.5535;
;0.0854;-0.3019;0.5742;-0.9769;-0.6042;
;0.0854;-0.3019;0.5742;-0.9769;-0.6042;
;0.0854;-0.2584;0.5368;-0.8304;-0.5038;
;0.0854;-0.4197;0.6624;-1.3104;-0.8533;
;0.0854;-0.237;0.5103;-0.7722;-0.4775;
;0.0854;-0.2431;0.6545;-1.3509;-0.9026;
;0.0854;-0.2431;0.6545;-1.3509;-0.9026;
;0.0854;-0.2431;0.6545;-1.3509;-0.9026;
;0.0854;-0.2431;0.6545;-1.3509;-0.9026;
;0.0854;-0.2431;0.6545;-1.3509;-0.9026;
;0.0854;-0.1048;0.4344;-0.9113;-0.5353;
;0.0854;-0.1048;0.4344;-0.9113;-0.5353;
;0.0854;-0.1048;0.4344;-0.9113;-0.5353;
;0.0854;-0.1048;0.4344;-0.9113;-0.5353;
;0.0854;-0.1048;0.4344;-0.9113;-0.5353;
;0.0854;-0.1048;0.4344;-0.9113;-0.5353;
;0.0854;-0.2547;0.7344;-1.2104;-0.7879;
;0.0854;-0.2547;0.7344;-1.2104;-0.7879;
;0.0854;-0.1522;0.6065;-0.8727;-0.5555;
;0.0854;-0.2878;0.5353;-0.8493;-0.5115;
;0.0854;-0.2835;0.5438;-0.8763;-0.548;
;0.0854;-0.2082;0.56;-0.9098;-0.5993;
;0.0854;0.0214;0.7666;-0.7744;-0.412;
;0.0854;-0.2265;0.5095;-0.7231;-0.4303;
;0.0854;-0.2265;0.5095;-0.7231;-0.4303;
;0.0854;-0.4274;0.6651;-1.3263;-0.8653;
;0.0854;-0.4481;0.643;-1.3075;-0.849;
;0.0854;-0.362;0.6094;-1.1571;-0.745;
;0.0854;-0.4638;0.7004;-1.4347;-0.9422;
;0.0854;-0.4276;0.6467;-1.2922;-0.8401;
;0.0854;-0.4638;0.7004;-1.4347;-0.9422;
;0.0854;-0.4298;0.676;-1.3495;-0.8823;
;0.0854;-0.4586;0.6813;-1.3923;-0.9111;
;0.0854;-0.3782;0.6302;-1.2737;-0.8213;
;0.0854;-0.416;0.6484;-1.2837;-0.8353;
;0.0854;-0.3791;0.5972;-1.1505;-0.7564;
;0.0854;-0.4286;0.6452;-1.2934;-0.8417;
;0.0854;-0.119;0.396;-0.4289;-0.219;
;0.0854;-0.1048;0.4344;-0.9113;-0.5353;
;0.0854;-0.1048;0.4344;-0.9113;-0.5353;
;0.0854;-0.1048;0.4344;-0.9113;-0.5353;
;0.0854;-0.1048;0.4344;-0.9113;-0.5353;
;0.0854;-0.1048;0.4344;-0.9113;-0.5353;
;0.0854;-0.4615;0.7058;-1.443;-0.9488;
;0.0854;-0.4691;0.7196;-1.4771;-0.9733;
;0.0854;-0.32;0.5579;-0.9837;-0.612;
;0.0854;-0.32;0.5579;-0.9837;-0.612;
;0.0854;-0.32;0.5579;-0.9837;-0.612;
;0.0854;-0.3109;0.5431;-0.9339;-0.5774;
;0.0854;-0.32;0.5579;-0.9837;-0.612;
;0.0854;-0.2602;0.5269;-0.817;-0.4957;
;0.0854;-0.3045;0.5441;-0.8889;-0.5367;
;0.0854;-0.3045;0.5441;-0.8889;-0.5367;
;0.0854;-0.3045;0.5441;-0.8889;-0.5367;
;0.0854;-0.3045;0.5441;-0.8889;-0.5367;
;0.0854;-0.3045;0.5441;-0.8889;-0.5367;
;0.0854;-0.3033;0.5446;-0.9182;-0.5767;
;0.0854;-0.3045;0.5441;-0.8889;-0.5367;
;0.0854;-0.3042;0.5367;-0.8928;-0.545;
;0.0854;-0.3015;0.5681;-0.9711;-0.6399;
;0.0854;-0.3015;0.5681;-0.9711;-0.6399;
;0.0854;-0.2678;0.5417;-0.8595;-0.5456;
;0.0854;-0.1256;0.4223;-0.449;-0.2337;
;0.0854;-0.2265;0.5095;-0.7231;-0.4303;
;0.0854;0.0424;0.2715;0.0011;0.0461;
;0.0854;-0.304;0.5316;-0.8955;-0.5508;
;0.0854;-0.304;0.5316;-0.8955;-0.5508;
;0.0854;0.2059;0.1164;0.5528;0.5346;
;0.0854;0.208;0.1273;0.5001;0.4733;
;0.0854;0.2248;0.1185;0.4845;0.4406;
;0.0854;0.217;0.1302;0.4836;0.4284;
;0.0854;0.2059;0.1164;0.5528;0.5346;
;0.0854;0.1842;0.1085;0.5302;0.5081;
;0.0854;0.2153;0.1267;0.493;0.4402;
;0.0854;0.192;0.1287;0.4668;0.251;
;0.0854;0.1866;0.1246;0.3821;0.3534;
;0.0854;0.192;0.1287;0.4668;0.251;
;0.0854;0.1885;0.1579;0.4255;0.3757;
;0.0854;0.192;0.1287;0.4668;0.251;
;0.0854;0.2004;0.1308;0.4427;0.3682;
;0.0854;0.2889;0.059;0.5185;0.3391;
;0.0854;-0.0896;-0.177;0.5166;0.1306;
;0.0854;0.1994;0.127;0.4994;0.4426;
;0.0854;0.2889;0.059;0.5185;0.3391;
;0.0854;0.1838;0.1625;0.3944;0.3515;
;0.0854;0.2097;0.18;0.5002;0.4583;
;0.0854;0.1976;-0.0053;0.2733;0.1941;
;0.0854;0.3059;-0.017;0.5394;0.147;
;0.0854;0.1649;0.0124;0.2052;0.2042;
;0.0854;0.1868;0.1301;0.2862;0.2406;
;0.0854;0.1958;0.1435;0.4465;0.3544;
;0.0854;0.1734;0.0941;0.4464;0.3609;
;0.0854;0.215;0.1009;0.4613;0.3479;
;0.0854;0.1922;0.0838;0.4173;0.2451;
;0.0854;0.1821;0.1067;0.4002;0.3053;
;0.0854;0.1903;0.1521;0.4362;0.3819;
;0.0854;0.1742;0.1715;0.4061;0.3374;
;0.0854;0.192;0.1287;0.4668;0.251;
;0.0854;0.2106;0.1333;0.4571;0.3725;
;0.0854;0.192;0.1287;0.4668;0.251;
;0.0854;0.1823;0.1526;0.3847;0.3414;
;0.0854;0.2172;0.0946;0.4182;0.3025;
;0.0854;0.1841;0.147;0.4091;0.3249;
;0.0854;0.1639;0.163;0.3661;0.2791;
;0.0854;0.192;0.1287;0.4668;0.251;
;0.0854;0.1599;0.1606;0.3771;0.3436;
;0.0854;0.179;0.0984;0.3675;0.3457;
;0.0854;0.1697;0.1303;0.3802;0.3027;
;0.0854;0.192;0.1287;0.4668;0.251;
;0.0854;0.2105;0.1307;0.4105;0.3492;
;0.0854;0.192;0.1287;0.4668;0.251;
;0.0854;0.2029;0.1331;0.4314;0.3662;
;0.0854;0.192;0.1287;0.4668;0.251;
;0.0854;0.1864;0.1392;0.3879;0.3282;
;0.0854;0.1361;0.09;0.4558;0.417;
;0.0854;0.143;0.116;0.4486;0.4039;
;0.0854;0.2152;0.0591;0.4736;0.3242;
;0.0854;0.2266;0.1272;0.4541;0.3817;
;0.0854;0.2295;0.131;0.41;0.3846;
;0.0854;0.2083;0.1585;0.4541;0.4087;
;0.0854;0.29;0.0291;0.3219;0.274;
;0.0854;0.2149;0.202;0.5373;0.5704;
;0.0854;0.2041;0.097;0.215;0.1602;
;0.0854;0.1965;0.0772;0.3215;0.2472;
;0.0854;0.2169;0.0748;0.1799;0.1086;
;0.0854;0.1936;0.0931;0.2485;0.1552;
;0.0854;0.1875;0.1364;0.354;0.3126;
;0.0854;0.2169;0.0748;0.1799;0.1086;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.1479;0.0566;0.2277;0.2077;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.1467;0.1206;0.3022;0.2927;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.1966;0.1398;0.461;0.3768;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.2133;0.1075;0.4279;0.3109;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.1968;0.1421;0.4344;0.3538;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.1782;0.1687;0.4048;0.3664;
;0.0854;0.3267;0.0318;0.5775;0.2402;
;0.0854;0.3108;0.108;0.5814;0.3175;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.1642;0.172;0.3733;0.3426;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.286;-0.0328;0.5127;0.1217;
;0.0854;0.2039;0.1187;0.4704;0.3726;
;0.0854;0.0515;0.0636;0.3819;0.333;
;0.0854;0.1665;0.1662;0.3888;0.3349;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.3596;-0.0951;0.5704;0.088;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.1377;0.0826;0.4542;0.36;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.3207;-0.0621;0.5399;0.1059;
;0.0854;0.139;0.214;0.0393;0.0452;
;0.0854;0.1562;0.1618;0.3081;0.257;
;0.0854;0.1814;0.1342;0.3667;0.3046;
;0.0854;0.1631;0.0712;0.4163;0.1779;
;0.0854;0.191;0.0846;0.4128;0.3122;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.3559;-0.0483;0.4284;0.3054;
;0.0854;-0.4374;-0.4516;0.5569;-0.07;
;0.0854;0.1715;0.1101;0.4816;0.3627;
;0.0854;0.1953;0.1455;0.4634;0.429;
;0.0854;0.2059;0.1164;0.5528;0.5346;
;0.0854;0.2059;0.1164;0.5528;0.5346;
;0.0854;0.2059;0.1164;0.5528;0.5346;
;0.0854;0.4219;-0.1084;0.5236;0.3811;
;0.0854;0.1718;0.1624;0.3862;0.3442;
;0.0854;0.1925;0.162;0.3987;0.3538;
;0.0854;0.1836;0.1417;0.3607;0.3199;
;0.0854;0.1959;0.1491;0.3878;0.3469;
;0.0854;0.1927;0.1472;0.4362;0.3963;
;0.0854;0.6351;-0.3614;0.5285;0.2843;
;0.0854;0.1766;0.0945;0.3633;0.3354;
;0.0854;0.1766;0.0945;0.3633;0.3354;
;0.0854;0.1645;0.1022;0.3198;0.3156;
;0.0854;0.6911;-0.4171;0.5487;0.278;
;0.0854;0.2979;0.0508;0.4299;0.335;
;0.0854;0.5555;-0.2558;0.507;0.297;
;0.0854;0.4338;-0.1301;0.4734;0.3257;
;0.0854;0.5437;-0.2457;0.514;0.2847;
;0.0854;0.4219;-0.1002;0.5054;0.3396;
;0.0854;0.1902;0.099;0.3837;0.3142;
;0.0854;0.2218;0.1198;0.3876;0.2968;
;0.0854;0.2061;0.1333;0.4418;0.3801;
;0.0854;0.1878;0.1344;0.4235;0.3481;
;0.0854;0.2543;0.0871;0.4783;0.3666;
;0.0854;0.2149;0.1448;0.3704;0.3136;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.2088;0.1116;0.3948;0.3555;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.2113;-0.0293;0.2521;0.184;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.3192;0.0961;0.5841;0.3081;
;0.0854;0.3005;0.0924;0.5417;0.3029;
;0.0854;0.3103;0.1129;0.5831;0.3233;
;0.0854;0.3111;0.1114;0.5832;0.3218;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.3276;-0.0458;0.5164;0.1696;
;0.0854;0.2886;0.1009;0.5592;0.4793;
;0.0854;0.0869;0.2988;-0.1368;-0.0205;
;0.0854;0.1977;0.1454;0.3433;0.3386;
;0.0854;0.2845;0.0786;0.5132;0.3886;
;0.0854;0.2845;0.0786;0.5132;0.3886;
;0.0854;0.2845;0.0786;0.5132;0.3886;
;0.0854;0.2543;0.0843;0.4208;0.3584;
;0.0854;0.1866;0.1502;0.3389;0.2838;
;0.0854;0.1866;0.1502;0.3389;0.2838;
;0.0854;0.1866;0.1502;0.3389;0.2838;
;0.0854;0.179;0.1703;0.367;0.3405;
;0.0854;0.1607;0.175;0.329;0.3241;
;0.0854;-0.0511;0.7391;-0.6663;-0.2997;
;0.0854;0.2083;0.1585;0.4541;0.4087;
;0.0854;0.2083;0.1585;0.4541;0.4087;
;0.0854;0.2083;0.1585;0.4541;0.4087;
;0.0854;0.2115;0.1202;0.3921;0.3608;
;0.0854;0.207;0.1465;0.4657;0.4656;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.3812;-0.1133;0.5873;0.0782;
;0.0854;0.2319;0.0747;0.3897;0.3327;
;0.0854;0.2319;0.0747;0.3897;0.3327;
